name,address,country,phone,website,google_maps_url,resumen,colores_hex,url_logo,url_screenshot
Sernuga - 100% Saludable,"Centro DAX, Rúa Zamora, 48, bajo, Freixeiro, 36203 Vigo, Pontevedra, Spain",Spain,986 16 06 75,http://www.cienporciensaludable.com/,https://maps.google.com/?cid=11527468002963033061,"Sernuga es una empresa que ofrece servicios de dietética y nutrición 100% saludables, con programas personalizados para particulares, empresas y colectividades. Sus servicios principales incluyen programas de adelgazamiento, consultoría nutricional, tratamiento de trastornos de la alimentación, educación nutricional, y programas de acompañamiento para mujeres embarazadas o en período de lactancia. Su público objetivo abarca desde personas individuales que buscan mejorar su salud hasta empresas que desean promover hábitos de vida saludables entre sus empleados.

Las ventajas competitivas de Sernuga radican en su enfoque personalizado y adaptado a las necesidades de cada cliente, así como en su amplia gama de servicios que abarcan desde la prevención de enfermedades hasta el tratamiento de trastornos alimentarios. Además, la empresa cuenta con un equipo de profesionales altamente cualificados y con experiencia en el campo de la nutrición y la dietética, lo que garantiza un servicio de calidad y confianza para sus clientes. Por último, Sernuga se destaca por su compromiso con la ética y la deontología profesional, demostrado a través de su código deontológico y su enfoque en promover hábitos de vida saludables de manera responsable y sostenible.","['#a3a3a3', '#f9f9fb', '#646e38', '#7d8880', '#c7cbcf']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.cienporciensaludable.com_.png
Santi Groba Nutrición,"R. de Rosalía de Castro, 28, oficinas/oficina 3-puerta izquierda, Santiago de Vigo, 36201 Vigo, Pontevedra, Spain",Spain,670 34 45 59,http://santigrobanutricion.com/,https://maps.google.com/?cid=15617295475381192284,"Santi Groba Nutrición es un negocio que se dedica a ofrecer servicios de nutrición clínica, deportiva, estética y pediátrica, así como educación nutricional, programas de entrenamiento, complementos alimenticios, charlas y talleres. El objetivo principal es ayudar a las personas a aprender a comer de manera saludable, tanto a través de consultas presenciales como online. El fundador, Santi Groba, es Dietista-Nutricionista y Biólogo sanitario con 13 años de experiencia en el campo.

Los servicios principales que ofrece Santi Groba Nutrición incluyen consultas personalizadas, educación nutricional, programas de entrenamiento adaptados, asesoramiento en la lista de la compra, y la elaboración de planes nutricionales adaptados a cada situación individual. El público objetivo de este negocio son personas que buscan mejorar su salud a través de una alimentación adecuada, ya sea para tratar enfermedades no transmisibles, optimizar su rendimiento deportivo, mejorar su estética corporal o recibir educación nutricional.

Las ventajas competitivas de Santi Groba Nutrición radican en la personalización de los planes nutricionales, la amplia variedad de servicios ofrecidos, la experiencia y profesionalismo del fundador, así como en la posibilidad de recibir asesoramiento tanto de forma","['#101013', '#f8f8f8', '#4b4b4b', '#a9b0a3', '#1f2021']",https://business-finder-assets-2024.s3.amazonaws.com/logos/vertical-transparente-2024-05-22.svg,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/santigrobanutricion.com_.png
Khalos,"R. de Nicaragua, 15, Santiago de Vigo, 36203 Vigo, Pontevedra, Spain",Spain,986 17 40 32,http://khalos.com/,https://maps.google.com/?cid=603650197408793337,"Khalos es un centro de entrenamiento personalizado en Vigo que ofrece servicios integrales de nutrición, deporte y estética para mejorar el estado físico-estético de sus clientes en un plazo razonable. Utilizan la última tecnología en análisis de composición corporal y ofrecen asesoramiento dietético con resultados demostrados. El método de entrenamiento principal es el HIIT, y cuentan con un protocolo propio para ayudar a los clientes a alcanzar sus objetivos.

El público objetivo de Khalos son personas que desean mejorar su estado físico y estético de manera personalizada y efectiva. Aquellos que buscan reducir peso, tonificar su cuerpo o mejorar su salud en general encontrarán en Khalos un aliado para lograr sus objetivos. El centro se enfoca en brindar un servicio completo que abarca desde la nutrición hasta la estética, adaptándose a las necesidades individuales de cada cliente.

Las ventajas competitivas de Khalos radican en su enfoque integral y personalizado, la utilización de tecnología de vanguardia en análisis de composición corporal y la demostrada efectividad de sus métodos de entrenamiento y nutrición. Además, el centro se destaca por ofrecer un servicio de calidad respaldado por profesionales especializados en el cuidado de la salud y el","['#0d0b07', '#fafafa', '#5f675e', '#37362a', '#90a29e']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo-khalos.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/khalos.com_.png
Dieta con Cabeza - Uxía Rodríguez - Dietista Vigo,"Rúa de Pi y Margall, 29, 36202 Vigo, Pontevedra, Spain",Spain,642 68 87 55,http://www.dietaconcabeza.es/,https://maps.google.com/?cid=13608605215278928432,"Dieta con Cabeza - Uxía Rodríguez es un negocio de dietética y nutrición en Vigo que ofrece servicios personalizados para mejorar los hábitos alimenticios y la salud de sus clientes. Su enfoque se basa en crear menús adaptados para diferentes patologías, asesoramiento dietético, nutrición deportiva, pérdida y aumento de peso, entre otros servicios.

El público objetivo de Dieta con Cabeza - Uxía Rodríguez son personas que buscan mejorar su alimentación, adoptar hábitos saludables y alcanzar un estilo de vida equilibrado. Su enfoque se centra en aquellos que buscan una dieta personalizada, lejos de las dietas para adelgazar pasajeras, y que desean disfrutar de la comida sin restricciones.

Las ventajas competitivas de Dieta con Cabeza - Uxía Rodríguez radican en la atención personalizada y profesional que ofrecen, la creación de dietas adaptadas a las necesidades de cada cliente, y la posibilidad de recibir servicios tanto de forma presencial como online. Además, su enfoque en el bienestar integral y en la reeducación de hábitos alimenticios los diferencia en el mercado de la dietética y nutrición en Vigo.","['#f1ecef', '#8d5c36', '#bd9664', '#4d2136', '#dac8a3']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.dietaconcabeza.es_.png
Asesoramiento dietético YUV Nutrición,"Rúa de García Barbón, 76, Santiago de Vigo, 36202 Vigo, Pontevedra, Spain",Spain,681 88 38 08,https://yuvnutricion.es/,https://maps.google.com/?cid=14165662482456485056,"YUV .Nutrición es un negocio ubicado en Vigo que ofrece planes de nutrición personalizados para sus clientes. Su principal enfoque es brindar asesoría y apoyo continuo a través de planes a medida diseñados para alcanzar objetivos específicos de salud y rendimiento. Con menús personalizados, consejos prácticos y asesoría continua, buscan motivar y guiar a sus clientes por el camino hacia una vida más saludable.

Los servicios principales de YUV .Nutrición incluyen la elaboración de menús personalizados, consejos prácticos para mejorar el rendimiento diario y asesoría continua a través de consultas iniciales y de seguimiento. Su público objetivo son personas que buscan mejorar su salud y alcanzar objetivos específicos a través de la nutrición, brindándoles un enfoque personalizado y orientación experta para lograr cambios duraderos en su estilo de vida.

Las ventajas competitivas de YUV .Nutrición radican en su atención personalizada, apoyo genuino y enfoque en la educación y empoderamiento de sus clientes. Con testimonios que destacan el trato cercano, el seguimiento real y los resultados obtenidos, la empresa se destaca por su compromiso en ayudar a sus clientes a alcanzar sus metas de salud de manera efectiva y satisfactoria","['#fdfdfd', '#bbbcb8', '#53876d', '#ab9b8c', '#977f64']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logoWEB.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/yuvnutricion.es_.png
"Dietista Online en Vigo. Laura de la Iglesia. Nutrición y dietética en ""The invisible Center""","Rúa Velázquez Moreno, 7A, 36201 Vigo, Pontevedra, Spain",Spain,659 85 54 41,,https://maps.google.com/?cid=3232064580024099863,,,,
Progresa Centro Integral de Salud,"Rúa Caracas, 8, bajo, Santiago de Vigo, 36203 Vigo, Pontevedra, Spain",Spain,986 95 46 21,http://saludprogresa.com/,https://maps.google.com/?cid=4748991774706568343,"Progresa es el primer Centro Integral de Salud en Vigo, especializado en la salud uroginecológica, embarazo y pediatría. Ofrece una amplia gama de servicios que van desde fisioterapia y osteopatía general hasta tratamientos especializados en uroginecología y suelo pélvico. Su equipo multidisciplinar está compuesto por profesionales en fisioterapia, osteopatía, matrona, podología, nutrición y dietética, psicología y readaptación postural.

El público objetivo de Progresa son personas que buscan tratamientos integrales y especializados en áreas como la salud uroginecológica, el embarazo y la pediatría. Además, ofrece servicios de fisioterapia del desarrollo y osteopatía pediátrica para prevenir y tratar dificultades en bebés y niños. También cuenta con clases de pilates para embarazadas y otras actividades enfocadas en la salud y el bienestar.

Las ventajas competitivas de Progresa radican en su enfoque multidisciplinar, que permite ofrecer un tratamiento individualizado y específico a cada paciente. Además, su especialización en áreas como uroginecología, embarazo y pediatría le otorga un valor añadido al ser pionero en este tipo de","['#71264f', '#e0d7e2', '#fdfefe', '#bbb3bb', '#95818b']",https://business-finder-assets-2024.s3.amazonaws.com/logos/cropped-logo-2.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/saludprogresa.com_.png
Nutricionista Gloria Lorenzo,"Rúa de María Berdiales, 25, bajo, Santiago de Vigo, 36203 Vigo, Pontevedra, Spain",Spain,687 14 52 32,https://www.searanutricionistavigo.com/,https://maps.google.com/?cid=11678067237076654564,"Seara Nutrición, dirigido por Gloria Lorenzo, se dedica a ofrecer asesoría nutricional personalizada y fomentar hábitos saludables en sus clientes. Con el objetivo de transformar el cuerpo de manera sostenible, la empresa se enfoca en la organización de la alimentación, la transformación de hábitos y la gestión del hambre emocional. Gloria Lorenzo, nutricionista y terapeuta ocupacional, se destaca por su enfoque integral que va más allá de lo médico, preocupándose por el bienestar emocional y las necesidades individuales de cada persona.

Los servicios principales de Seara Nutrición incluyen consultas personalizadas, talleres, programas online y recursos gratuitos para educar a sus clientes sobre nutrición y ayudarles a tomar las mejores decisiones para su salud. El público objetivo de la empresa son aquellas personas que desean abandonar el ciclo de las dietas y transformar su relación con la comida, buscando un cambio real y duradero en su estilo de vida. Las ventajas competitivas de Seara Nutrición radican en la experiencia y formación de Gloria Lorenzo, así como en su enfoque empático, motivador y personalizado que se aleja de las dietas restrictivas y busca el bienestar integral de sus clientes.

En resumen, Seara Nutric","['#c1bcb4', '#fefefe', '#393532', '#e87969', '#7b7d73']",https://business-finder-assets-2024.s3.amazonaws.com/logos/Logo-Meet_edited.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.searanutricionistavigo.com_.png
"Centro Suma: Fisioterapia, Nutrición y Psicología","Rúa de Joaquín Loriga, 13, Santiago de Vigo, 36203 Vigo, Pontevedra, Spain",Spain,650 56 96 06,http://www.sumavigo.com/,https://maps.google.com/?cid=8578099147801406913,"Centro SUMA es un centro de fisioterapia, psicología, entrenamiento personal y nutrición ubicado en Vigo. Ofrece una amplia gama de servicios que incluyen terapia individual, de pareja, familiar, entrenamiento individual y en pareja, fisioterapia respiratoria, ejercicios terapéuticos, punción seca, reeducación postural, entre otros. El público objetivo de Centro SUMA son personas que buscan mejorar su bienestar físico y emocional a través de servicios profesionales y personalizados.

Las ventajas competitivas de Centro SUMA radican en contar con un equipo de profesionales altamente cualificados y especializados en cada una de las áreas de servicio. Además, ofrecen un enfoque integral que combina la fisioterapia, la psicología, el entrenamiento personal y la nutrición para brindar un tratamiento completo a sus clientes. Su ubicación estratégica en Vigo les permite atender a una amplia clientela en la zona.

En resumen, Centro SUMA es un centro especializado en fisioterapia, psicología, entrenamiento personal y nutrición en Vigo, que ofrece servicios profesionales y personalizados para mejorar el bienestar físico y emocional de sus clientes. Con un equipo de profesionales altamente cualificados y una ubicación estratégica, Centro SUMA se destaca","['#fefefe', '#5a97ae', '#396d91', '#6da8c1', '#e5e6e7']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo-suma-web.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.sumavigo.com_.png
Consulta Doctora Carmen Bravo,"Rúa Pintor Laxeiro, 28, Freixeiro, 36211 Vigo, Pontevedra, Spain",Spain,986 21 20 29,http://www.doctoracarmenbravo.com/,https://maps.google.com/?cid=315719998609353660,"La Dra. Carmen Bravo es una nutricionista y médica que ofrece servicios de consulta en Vigo. Con más de 25 años de experiencia, se especializa en nutrición, psiconeuroinmunología, medicina natural y estilo de vida. Su enfoque se centra en brindar tratamientos personalizados para mejorar la salud integral de sus pacientes, ya sea para tratar síntomas específicos o para promover un estilo de vida saludable de forma preventiva.

Entre los principales servicios que ofrece la Dra. Carmen Bravo se encuentran la exploración clínica completa, pruebas complementarias como análisis de sangre y test de intolerancias alimentarias, educación alimentaria, cambios en hábitos nutricionales, apoyo psicológico, tratamientos para patologías como obesidad, diabetes, hipertensión y dislipemias, y tratamientos personalizados que incluyen medicina convencional, ortomolecular, flores de Bach y dietas de aporte proteico. Su objetivo es mejorar la salud física y psicológica de sus pacientes, brindando cercanía y confianza en cada visita.

El público objetivo de la Dra. Carmen Bravo son personas que buscan mejorar su salud a través de la nutrición y la medicina natural, ya sea para tratar problemas de salud específicos o para adoptar un estilo de vida más salud","['#fcfcfb', '#a4bdcb', '#336b7f', '#d9e1e7', '#c5aa9c']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.doctoracarmenbravo.com_.png
