name,address,country,phone,website,google_maps_url,resumen,colores_hex,url_logo,url_screenshot
Belts Vigo,"Bajada RIOS, 30, Teis, 36216 Vigo, Pontevedra, Spain",Spain,986 37 94 28,http://www.beltsvigo.com/,https://maps.google.com/?cid=7004635745390962430,"Belts Vigo es una empresa destacada en el sector de bandas transportadoras, con más de 29 años de experiencia. Se especializa en la fabricación, reparación y montaje de bandas transportadoras utilizadas en una amplia gama de aplicaciones, desde supermercados hasta aeropuertos y fábricas de coches. La compañía se enorgullece de su crecimiento constante a lo largo de los años, atribuido a la calidad de sus productos, su compromiso con la excelencia, y la positiva recomendación boca a boca de sus clientes satisfechos.

Las principales ofertas de Belts Vigo incluyen bandas transportadoras modulares plásticas y bandas de PVC, además de una variedad de componentes relevantes como rodillos, planchas, bandas de caucho, separadores, y cadenas. Esta diversificada gama de productos ha encontrado una aplicación extensa en varios sectores industriales, incluidos la alimentación, el granito, la madera, así como el sector auxiliar del automóvil. Belts Vigo también cumple un papel crucial como proveedor de talleres fabricantes de cintas transportadoras y armadores.

En el núcleo de su operación, Belts Vigo mantiene un compromiso inflexible con la satisfacción del cliente, evidente no solo en el producto que entregan sino también en los servicios de reparación y montaje rápido y competente que ofrecen. Invitan a los interesados a solicitar presupuestos y explorar su oferta, demostrando su apertura y predisposición para atender las necesidades específicas de sus clientes.","['#6b6767', '#fcfbfb', '#9b9492', '#1b1b18', '#c8473b']",https://business-finder-assets-2024.s3.amazonaws.com/logos/BELTS-LOGO.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.beltsvigo.com_.png
IF VIGO,"Rúa de García Barbón, 64, Santiago de Vigo, 36201 Vigo, Pontevedra, Spain",Spain,986 90 31 49,http://www.ifvigo.com/,https://maps.google.com/?cid=2362880151812266151,"IF VIGO, S.L., conocida comercialmente como IF, es una empresa fundada en 2012, que se dedica a la captura, procesamiento y comercialización de productos del mar. Surgió como una iniciativa para comercializar el pescado capturado por uno de los principales armadores en NAFO, el grupo portugués LARGISPOT. Este grupo tiene una larga tradición pesquera y es conocido en los sectores de pesca, procesamiento de mariscos y comercialización, contando con los canales logísticos necesarios para distribuir sus productos en cualquier punto del mercado internacional.

La integración vertical de la empresa, que abarca desde la captura hasta la comercialización, le permite ofrecer productos de mayor calidad, adaptando los tipos y formatos de venta a las necesidades específicas de los clientes.","['#d5dbe3', '#2e5a74', '#f5f6f8', '#768899', '#adbcca']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo_peq.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.ifvigo.com_.png
"Consulta y Crece, Networking en Vigo","Rúa Real, 16, 36202 Vigo, Pontevedra, Spain",Spain,679 15 74 57,http://www.consultaycrece.com/,https://maps.google.com/?cid=126729728944305008,"El contenido del archivo proporcionado no incluye información directa sobre una empresa específica, sino que parece estar relacionado con un problema de acceso a un sitio web, específicamente al sitio web ""consultaycrece.com"". La mayor parte del contenido se refiere a un mensaje de error generado por Wordfence, un plugin de seguridad para sitios WordPress, indicando que el acceso al sitio ha sido limitado temporalmente por razones de seguridad. Se menciona que Wordfence está instalado en más de 5 millones de sitios de WordPress y ofrece herramientas para gestionar el acceso al sitio  .

Dado que no se proporciona información específica sobre la empresa o su actividad, no es posible generar un resumen profesional y conciso de la misma basándome en los datos proporcionados. Si tiene más información o archivos relacionados directamente con la empresa que deseaba analizar, por favor proporcione detalles adicionales o cargue los documentos pertinentes para asistirle adecuadamente.","['#e5e5e4', '#030303', '#ac9b8c', '#fefefe', '#485f7b']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.consultaycrece.com_.png
Gi Group ETT Vigo (Empresa de trabajo temporal),"C. de Luis Taboada, 32, 3º derecha, 36201 Vigo, Pontevedra, Spain",Spain,886 90 77 18,http://www.gigroup.es/,https://maps.google.com/?cid=8614844959395799482,"Gi Group ETT es una empresa que se especializa en proporcionar soluciones de trabajo temporal, selección y formación, dirigidas tanto a individuos en busca de trabajo como a empresas en necesidad de personal. Su enfoque abarca un amplio rango de áreas profesionales, incluyendo administración, telemarketing, construcción, y muchos otros sectores, tal como se evidencia por sus variadas ofertas de empleo en localidades como Barcelona, Valencia, y Madrid entre otras. Además de su labor principal de reclutamiento y colocación laboral, Gi Group ETT destaca por su compromiso con el desarrollo del talento a través de iniciativas como ""Learning by doing: Un modelo pedagógico centrado en resultados empresariales"" y el fomento de la creación de CVs animados y profesionales utilizando herramientas modernas como Canva. Esta organización, con presencia en varias ciudades españolas, demuestra una clara orientación hacia la mejora continua de los procesos de selección y formación, así como el apoyo al talento joven mediante su programa de becas corporativo ""Young Talent Campus"".

Con un enfoque integral en la gestión del talento y el empleo temporal, Gi Group ETT se posiciona como un actor clave en el mercado laboral ofreciendo una plataforma eficiente para la búsqueda de empleo y el reclutamiento, haciendo uso de herramientas digitales y programas de formación avanzada para conectar a candidatos con oportunidades laborales relevantes.","['#a37f66', '#f9f9f9', '#473933', '#52abbf', '#c5c3c2']",https://business-finder-assets-2024.s3.amazonaws.com/logos/gi-group-child-logo@2x.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.gigroup.es_.png
RECLAMOS VIGO SL,"Camiño das Maceiras, 26, 36317 Vigo, Pontevedra, Spain",Spain,986 25 07 59,https://www.reclamosvigo.com/,https://maps.google.com/?cid=10312995556380479994,"Reclamos Vigo es una empresa especializada en regalos promocionales personalizados y merchandising para empresas. Se enfocan en potenciar la marca de sus clientes mediante soluciones únicas que se adaptan a sus necesidades específicas. Ofrecen una amplia gama de productos personalizables, como ropa laboral, camisetas baratas, bolígrafos económicos, llaveros y bolsas, todos diseñados para mejorar la imagen corporativa y destacar en el entorno empresarial.

Dentro de su oferta destacada, Reclamos Vigo dispone de:
- **Uniformes y Ropa Laboral Personalizada**: Conjuntos que combinan estilo, comodidad y durabilidad, realzando la profesionalidad del equipo con acabados de calidad en serigrafía, bordado y personalización DTF.
- **Productos Promocionales**: Desde camisetas económicas hasta bidones y tazas personalizadas, pasando por una variedad de bolígrafos ajustados a diversos presupuestos, todos pensados para eventos corporativos o campañas promocionales.

La empresa asegura rapidez y calidad en su servicio gracias a su taller de serigrafía propio, donde personalizan regalos con un toque de diseño gráfico profesional. Su compromiso incluye no solo destacar la marca de sus clientes pero también ofrecer productos de calidad que respondan a las exigencias de personalización y tiempo de entrega.

En conclusión, Reclamos Vigo se posiciona como un proveedor clave de regalos promocionales y merchandise, ofreciendo una solución integral para las empresas que buscan destacar su identidad de marca de forma original y efectiva.","['#363e38', '#badbea', '#fefefe', '#000000', '#9b9371']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.reclamosvigo.com_.png
"Iberisac, bolsas para comunicar","Rúa Velázquez Moreno, 9, PLANTA BAJA OFICINA 9, 36201 Vigo, Pontevedra, Spain",Spain,986 17 34 40,http://iberisac.com/,https://maps.google.com/?cid=14396103654063763250,"Iberisac es una empresa especializada en el diseño y producción de bolsas personalizadas y packaging para comercio y empresas. Su enfoque se centra en ofrecer una amplia gama de productos adaptados a las necesidades específicas de sus clientes, incluyendo opciones de papel, tela, plástico y accesorios. Con un compromiso hacia la creación de experiencias memorables para los consumidores finales, Iberisac destaca por el empleo de técnicas innovadoras y materiales sostenibles en sus diseños, como el papel antigrasa y antihumedad, especialmente pensados para la industria alimentaria.

La compañía promueve una filosofía de sostenibilidad, destacando la importancia de las prácticas respetuosas con el medio ambiente en la producción de sus materiales de embalaje. Con productos como las bolsas de plástico reciclado, Iberisac apoya la economía circular mediante la reutilización de materiales y la reducción de residuos.

Además de sus productos, Iberisac brinda una experiencia integral a sus clientes que va desde el asesoramiento personalizado hasta un soporte postventa eficaz, asegurando la satisfacción completa en cada etapa del proceso de creación y distribución del packaging. Su enfoque no solo se basa en la calidad y la innovación, sino también en construir relaciones duraderas y provechosas con sus clientes, adaptándose continuamente a las tendencias del mercado y a las exigencias del consumidor moderno.","['#fdfdfd', '#5a5958', '#3f3f3e', '#a3aeab', '#6f6f6e']",https://business-finder-assets-2024.s3.amazonaws.com/logos/iberisac-logo.webp,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/iberisac.com_.png
"PlasExpandido, S.L.","Puerto Pesquero, Almacen Capas, 7, Darsena 3, 36200 Vigo, Pontevedra, Spain",Spain,986 43 03 54,https://bewi.com/?lang=pt-pt,https://maps.google.com/?cid=645740931033508006,"BEWI es un proveedor líder internacional de embalajes, componentes y soluciones de aislamiento, reconocido por su compromiso integral con la sostenibilidad en toda su cadena de valor. Desde su fundación en 1980 en la isla Frøya, en Noruega, BEWI ha enfocado su estrategia en crear valor para clientes, la sociedad y sus propietarios, posicionándose como un actor clave en el mercado mediante la oferta de soluciones innovadoras y sustentables. Su dedicación a la sostenibilidad se evidencia en su proceso de producción, desde la creación de materias primas hasta la reciclación de productos usados, enfatizando la importancia de una economía circular en la industria de embalajes. Además, BEWI destaca por su gama GreenLine, que incluye productos con contenido reciclado y reducidas emisiones de CO2, elaborados a partir de EPS usado recolectado y reciclado por la empresa. Este enfoque no solo subraya su liderazgo en soluciones ecológicas sino también su influencia positiva en el cumplimiento de las exigencias del Green Deal Europeo.","['#000000', '#f0f0f0', '#8c756d', '#3c3e40', '#b6b6b7']",,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/bewi.com_?lang=pt-pt.png
CajasPack,"D3, Naves 1-3, 36202 Vigo, Pontevedra, Spain",Spain,986 43 70 82,https://cajaspack.com/,https://maps.google.com/?cid=17026976937185993378,"**CajasPack: Resumen Profesional y Concluso**

CajasPack es una empresa destacada en la fabricación y distribución de cajas personalizadas, con más de cuatro décadas de experiencia sirviendo a diversas industrias. Especializada en ofrecer soluciones de embalaje a medida, la compañía se enfoca en la producción de cajas de cartón, madera, y poliespán, adaptándose a las necesidades específicas de cada negocio. Además, resalta por su oferta de cajas isotérmicas de poliestireno, ideales para el sector alimentario y el transporte refrigerado. Con una sólida reputación como proveedor de embalajes, CajasPack se posiciona como una opción confiable y versátil para empresas en busca de soluciones de embalaje de alta calidad y personalizadas.","['#9d958c', '#3b3a3b', '#fcfcfc', '#7c746a', '#111113']",https://business-finder-assets-2024.s3.amazonaws.com/logos/logo-final-cajaspack-2.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/cajaspack.com_.png
Enriel Suministros Industriales Vigo,"Av. Ricardo Mella, 119, 36330 Vigo, Pontevedra, Spain",Spain,986 21 35 35,http://www.enriel.com/,https://maps.google.com/?cid=9078189573331543390,"Enriel Suministros Industriales, fundada en 1976, se destaca como una empresa familiar en crecimiento que se ha establecido como un proveedor integral y referencia en la distribución de productos y soluciones avanzadas para diversos sectores, incluyendo la industria, primeros equipos, mantenimiento, y el sector naval. Esta empresa se enorgullece de su amplio stock que incluye más de 1 millón de referencias, lo que le permite trabajar con las principales marcas del mercado y garantizar un suministro eficiente gracias a sus delegaciones en España y Portugal y la distribución global desde sus almacenes. Además, Enriel ofrece formación personalizada de sus productos y marcas, brindando un valor agregado a sus clientes a través de un asesoramiento técnico personalizado y un servicio de atención al cliente disponible las 24 horas. La integración de soluciones personalizadas y un sistema de gestión de almacenes automáticos son algunos de los aspectos que resaltan su orientación a la innovación y la satisfacción del cliente.","['#f0f1f2', '#aaa9aa', '#614449', '#d6d6d7', '#d5d16a']",https://business-finder-assets-2024.s3.amazonaws.com/logos/ue.svg,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.enriel.com_.png
Grupo Firma,"Ctra. de Camposancos, 102, Local 4M, 36213 Vigo, Pontevedra, Spain",Spain,698 13 16 50,https://www.grupofirma.es/,https://maps.google.com/?cid=74609701272151800,"Grupo Firma es una empresa joven formada por tres profesionales con amplia experiencia en el sector de las artes gráficas. Su misión es brindar valor a sus clientes mediante detalles precisos, utilizando la tecnología más avanzada y un fuerte compromiso para garantizar el impacto visual deseado. Se especializan en realizar ideas y ofrecen una gama de servicios personalizados centrados en la impresión digital y la rotulación.

Ofrecen soluciones personalizadas para una variedad de necesidades de visualización y diseño, incluidas letras corpóreas y señalética, tintado de lunas, y láminas de protección solar para vehículos en Vigo. Cada servicio está diseñado para mejorar tanto la visibilidad como la protección de negocios y vehículos.

Grupo Firma se esfuerza por potenciar la imagen de los negocios a través de soluciones visuales innovadoras que prometen calidad, creatividad, y durabilidad, asegurando así el máximo impacto visual. Además, a través de su blog, ofrecen tendencias, consejos y novedades sobre rotulación e impresión digital para ayudar a las empresas a mejorar su imagen con creatividad e innovación.

Para cualquier consulta o necesidad de asesoramiento y presupuestos personalizados, Grupo Firma invita a sus clientes a ponerse en contacto, facilitando así el inicio de proyectos creativos y la realización de ideas.","['#fdfdfd', '#1c1b1b', '#738275', '#cf3c39', '#060405']",https://business-finder-assets-2024.s3.amazonaws.com/logos/Logotipo-Grupo-Firma-1.png,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.grupofirma.es_.png
Grupo de Empresas Álvarez (Ruinas),"Av. de Ramón Nieto, 390, Lavadores, 36214 Vigo, Pontevedra, Spain",Spain,,,https://maps.google.com/?cid=17371212664271689651,,,,
Núñez Vigo,"Av. da Beiramar, 69, 36202 Vigo, Pontevedra, Spain",Spain,986 21 15 00,http://www.nunezvigo.com/,https://maps.google.com/?cid=3825655469726197954,"Nuñez Vigo es una empresa especializada en el diseño, fabricación e instalación de maquinaria de pesca, así como de circuitos hidráulicos y neumáticos. La compañía concentra gran parte de su actividad en el sector naval e industrial, proveyendo soluciones integrales y personalizadas que abarcan desde la ingeniería inicial hasta la entrega final del proyecto. La empresa se destaca por su capacidad para ofrecer proyectos ""llave en mano"" adaptados a las necesidades específicas de sus clientes, lo que incluye una amplia gama de productos y servicios relacionados con la hidráulica y la neumática. 

Además de su enfoque en maquinaria de pesca, Nuñez Vigo también trabaja en proyectos de diversas escalas y complejidades para otros tipos de embarcaciones y sectores industriales, aprovechando su extenso conocimiento y experiencia en la materia. Su compromiso con la calidad y la innovación técnica se refleja en el diseño y ejecución de soluciones eficientes y duraderas, consolidando su reputación como líder en el sector.

Nuñez Vigo forma parte del grupo EMENASA, una coalición de empresas especializadas en servicios y productos para diferentes industrias, incluida la naval. Esta pertenencia a un grupo más grande le permite a Nuñez Vigo acceder a recursos, conocimientos y tecnologías complementarias que enriquecen su oferta de servicios, aumentando así su capacidad para ejecutar proyectos de gran envergadura y alto nivel técnico.

En resumen, Nuñez Vigo se posiciona como una empresa clave en la industria de hidráulica y neumática para aplicaciones navales e industriales, destacándose por su capacidad para ofrecer soluciones completas y personalizadas que satisfacen las necesidades de sus clientes y contribuyen al progreso y eficiencia de sus operaciones.","['#2b3830', '#fdfcfd', '#7e8288', '#b13c35', '#a5a6ab']",https://business-finder-assets-2024.s3.amazonaws.com/logos/hyva-logo.jpg,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.nunezvigo.com_.png
Sunoba Suministros Industriales,"Rúa Marqués de Valterra, 1, Bajo, 36202 Vigo, Pontevedra, Spain",Spain,986 43 29 66,http://www.sunoba.net/,https://maps.google.com/?cid=6935235808472368252,"Sunoba Suministros Industriales es una empresa consolidada con más de 30 años de experiencia en el sector, destacándose desde 1986 por su dedicación al suministro de equipos, mantenimiento, industria en general y en particular al sector naval. La empresa ha evolucionado haciendo hincapié en el aprendizaje y la capacitación de su equipo humano, lo cual le permite ofrecer soluciones adecuadas a las necesidades específicas de sus clientes.

Entre sus servicios clave, Sunoba garantiza entrega en 24 horas gracias a su amplio almacén y eficiente logística de distribución. Además, proporciona asesoramiento técnico respaldado por la experiencia de su propio personal técnico y el apoyo de las marcas que distribuye. En términos de productos, la empresa se enorgullece de contar con 80,000 referencias en stock permanente, cubriendo áreas como la estanqueidad, rodamientos, filtración, transmisión de potencia, herramientas, cierres mecánicos y productos químicos.

Cabe destacar su compromiso con la calidad, evidenciado por el sistema de gestión de calidad según la norma UNE-EN ISO 9001, lo que refuerza su fiabilidad y profesionalismo en el sector de suministros industriales.

En resumen, Sunoba Suministros Industriales se presenta como una empresa líder en su ámbito, impulsada por una larga trayectoria, un enfoque en soluciones técnicas personalizadas y un compromiso profundo con la calidad y la satisfacción del cliente.","['#0d0d0d', '#fdfdfd', '#6e95d4', '#333333', '#5e5e5e']",https://business-finder-assets-2024.s3.amazonaws.com/logos/CRC-Logo-300x300.jpg,https://business-finder-assets-2024.s3.amazonaws.com/screenshots/www.sunoba.net_.png
